ID,companyName,contactName,contactTitle,address,city,country
ad31f74a-264a-49ff-aa37-0c25876a993d,Devify,Candy Lye,Food Chemist,48 Truax Place,Oeoh,CA
8bd94fdb-ce6c-4174-96b4-5330880501bb,Tagopia,Mamie Ganniclifft,Safety Technician IV,78 Sheridan Road,Portela,MX
68b1e5f6-4180-41de-b0ff-4748e36fef85,Meemm,Kristo Badby,VP Product Management,76374 Del Sol Trail,Bijie,US
86d000a7-2a47-44d2-bab2-222ca572e286,Devshare,Joanna Almak,Media Manager II,9138 Cambridge Drive,Juli,UK
60272af1-cf4f-46d3-83f5-994d3aae9540,Mymm,Agneta Debnam,Recruiter,28124 Waubesa Pass,Tortosa,UK
184b1645-6e80-4d33-8725-688960a09517,Browsecat,Mollie Youthed,Professor,8 Colorado Court,Balbalan,CA
c0ce486b-aaa4-4989-9d4d-adf8b01cf2aa,Fatz,Shauna Kiddy,Legal Assistant,1745 Tennyson Drive,Emiliano Zapata,UK
890943b2-ecbe-4415-aa98-ad0d9891208b,Photolist,Wylie Wilflinger,Compensation Analyst,608 Mandrake Point,Krapyak Kidul,CA
7e3d496f-f4db-4016-85c2-a988bfb948e2,Youspan,Maurie Oakshott,Technical Writer,0 Continental Center,Xibu,US
738bfa1c-bf34-49f5-9cef-ab5459e6e67b,Lazzy,Garrard Tulloch,Nurse Practicioner,04 Claremont Center,Mogotes,MX
5884f263-12ba-4ae3-87e0-1098fe9dff07,Agivu,Guido Hatchette,Product Engineer,49820 High Crossing Avenue,Shakhty,CA
c0c5607f-f9e6-4fea-9dae-a5b533ad3c42,Rhyloo,Lothario Shreeve,Registered Nurse,46790 Pepper Wood Pass,Cabuyaro,CA
a508257a-975c-4719-b718-7e21a9ff75dd,Devcast,Rahel Linneman,Web Designer III,375 Carberry Street,Glondong,UK
05c88a66-7c9a-4e94-ae30-ffe268741685,Feedmix,Lee Brownsey,Nurse,1802 Oriole Point,Gastoúni,UK
769b785d-ed00-40fa-a8cf-2039c25fa160,Rhyzio,Michaela Boneham,Statistician I,5 Moose Pass,Taketoyo,CA
a48ed500-f134-4ad8-accb-7bcb47ce73e7,Mita,Cati Swiers,Clinical Specialist,217 Eagan Lane,Greenhills,CA
44c71d84-cad1-4aef-901a-bc5bfcaa8aa4,JumpXS,Alexander Quidenham,Software Consultant,89786 Westerfield Park,Bohumín,MX
701a633e-9ebb-4970-84c3-92783ae12380,Zoomlounge,Con Burker,Pharmacist,61597 Sullivan Crossing,Manikchari,US
601f6647-4023-468a-9d78-c40818a1d29e,Mydeo,Brigham Morales,Structural Analysis Engineer,60 Sunbrook Point,Fayzabad,US
90eebd4a-628b-4bac-bd6a-335071cbfb76,Flipbug,Kile Wardesworth,Editor,9583 Dryden Lane,Varazqān,UK
7be0a1c7-2d86-4eb0-9870-eb809d7d1c07,Voolith,Carita Lendrem,Account Representative III,42 Homewood Lane,Taixi,MX
a07160ec-bb69-41c5-87c4-847237726367,Flipstorm,Graeme Erlam,Tax Accountant,664 Sutherland Drive,Malusac,MX
06b8989e-097f-4232-8d53-4bfd4984f034,Linkbuzz,Farrand Kilgallen,Professor,38 Morning Crossing,Santa Maria,UK
36f30c9c-23e5-4eeb-b186-89e5f4b53de8,Zoombox,Clare Ellsom,Community Outreach Specialist,929 Merrick Way,Cataguases,CA
a4937d79-e786-4334-bf73-3839269ec948,Shufflester,Erda Rigbye,Recruiting Manager,4 Jenifer Drive,Oliveira do Conde,CA
a3e75d74-74de-4ef0-b9d3-f4c48a352e5c,Avavee,Timothea Trobe,Geological Engineer,2 Spaight Terrace,Saint-Joseph-de-Coleraine,US
2acb9476-9cd3-42a0-8dec-e8acdaaa988d,Mybuzz,Crista de Tocqueville,Dental Hygienist,999 Jenna Hill,Rzgów,MX
9fe42d06-b018-4ec7-8981-7e6e72294a6b,Wikivu,Barde Manuaud,Civil Engineer,18209 Gerald Terrace,Amvrosiyivka,US
0bb70e45-5df2-4d44-887b-b6df07709bf1,Devify,Marrissa Rowberry,Research Nurse,94498 Bunting Junction,Huangshanguan,UK
7c306acd-b016-4405-b28d-a4a5037096b1,Twitterworks,Lorene Gillings,Database Administrator IV,37953 Tennyson Crossing,Château-Richer,UK
7e7af8d5-2a38-4d9d-8c5d-dcbb85ac9069,Latz,Inigo Crewdson,Pharmacist,5 Grim Parkway,Bousso,CA
abbb4092-5f1f-4e23-a2d6-51564841a4e2,Teklist,Asa Kubal,VP Sales,60982 Ilene Court,Kiuteta,MX
668242f6-3aa6-4296-828c-0a5868cc74d8,Edgeify,Corny Ilyenko,Software Test Engineer IV,64 Holmberg Court,Kalvola,CA
80d7cc02-1b99-4d6d-abf8-09c4aa376a17,Flashspan,Natalee Backe,Senior Cost Accountant,5 Vermont Circle,Caleufú,UK
a7d9a6ac-a4bb-4e2c-95b3-c7dfcf930ed7,Dynazzy,Umeko Thicking,Cost Accountant,4 Milwaukee Junction,Orenburg,UK
